,index,Brand_Name,Product_Name,Types,Price,Size_ml,Rating,Product_ID,Reviews,Prize_size_ratio,Bayesian_Average,Without Parabens,Without Sulfates,Vegan,Clean at Sephora,CrueltyFree,Oil Free,Fragrance Free,Alcohol Free,Gluten Free,Normal,Dry,Oily,Combination,Sensitive,Dryness,Uneven Texture,Wrinkles,Pores,Oiliness,Acne,Blemishes,Link
0,40,Clarins,Super Restorative Décolleté and Neck Concentrate,Moisturizers,110.0,75.89999999999999,5.0,P478248,1.0,1.4492753623188408,4.262188762183972,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/clarins-super-restorative-decollete-neck-concentrate-P478248?skuId=2545390&icid2=products grid:p478248:product
1,105,Erno Laszlo,Brightening White Marble Treatment Cleansing Bar,Cleaners,37.1,102.0,5.0,P478268,1.0,0.36372549019607847,4.262188762183972,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,https://www.sephora.com/ca/en/product/erno-laszlo-brightening-white-marble-treatment-cleansing-bar-P478268?skuId=2544690&icid2=products grid:p478268:product
2,5,Clarins,CalmEssentiel Restructuring Oil,Moisturizers,68.0,30.0,1.0,P475082,1.0,2.2666666666666666,4.11933161932683,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,
3,56,Skinfix,"Glycol Lactic Brightening Boost AM,PM Moisturizer",Moisturizers,98.0,51.0,2.0,P502084,1.0,1.9215686274509804,4.155045905041115,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,
4,68,GUERLAIN,Orchidee Imperiale The Molecular Concentrate Eye Cream,Eyecare,395.0,21.0,5.0,P502727,1.0,18.80952380952381,4.262188762183972,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/guerlain-orchidee-imperiale-molecular-concentrate-eye-cream-P502727?skuId=2628493&icid2=products grid:p502727:product
5,56,MAC Cosmetics,Hyper Real Fresh Canvas Cleansing Oil,Cleaners,59.0,201.0,5.0,P504225,1.0,0.2935323383084577,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mac-cosmetics-hyper-real-fresh-canvas-cleansing-oil-P504225?skuId=2652485&icid2=products grid:p504225:product
6,0,bareMinerals,Ageless PhytoRetinol Face Cream,Moisturizers,81.0,51.0,5.0,P504449,1.0,1.588235294117647,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,
7,61,IT Cosmetics,Confidence in an Eye Cream AntiAging Peptide Eye Cream,Eyecare,59.0,15.0,1.0,P502957,1.0,3.933333333333333,4.11933161932683,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,
8,28,GUERLAIN,Orchidee Imperiale The Neck and Decollete Cream,Moisturizers,460.0,75.0,5.0,P445000,1.0,6.133333333333334,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/orchidee-imperiale-neck-decollete-cream-P445000?skuId=2235521&icid2=products grid:p445000:product
9,159,NuFACE,NuFACE® Hydrating Aqua Gel,FaceSerum,82.0,300.0,5.0,P503862,1.0,0.2733333333333333,4.262188762183972,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/nuface-nuface-reg-hydrating-aqua-gel-P503862?skuId=2653905&icid2=products grid:p503862:product
10,55,Clarins,ReBoost Mattifying Hydrating Cream,Moisturizers,30.0,51.0,4.0,P503937,1.0,0.5882352941176471,4.226474476469686,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,
11,137,NUDESTIX,NUDESKIN Citrus Clean Balm & MakeUp Melt,Cleaners,41.0,60.0,5.0,P476892,1.0,0.6833333333333333,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,
12,29,Clarins,Super Restorative Day SPF 20,Moisturizers,134.0,51.0,4.0,P432637,1.0,2.627450980392157,4.226474476469686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/super-restorative-day-spf-20-P432637?skuId=2088466&icid2=products grid:p432637:product
13,96,philosophy,Purity Foaming Cleanser,Cleaners,37.0,150.0,4.0,P501582,1.0,0.24666666666666667,4.226474476469686,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,https://www.sephora.com/ca/en/product/purity-foaming-cleanser-P501582?skuId=2619393&icid2=products grid:p501582:product
14,83,Clé de Peau Beauté,Protective Fortifying Emulsion,Moisturizers,210.0,126.0,5.0,P481679,1.0,1.6666666666666667,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,https://www.sephora.com/ca/en/product/cle-de-peau-beaute-protective-fortifying-emulsion-P481679?skuId=2565646&icid2=products grid:p481679:product
15,88,Kiehl's Since 1851,Calendula Calming & Soothing Concentrated Cleansing Bar,Cleaners,25.0,105.0,5.0,P500704,1.0,0.23809523809523808,4.262188762183972,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,https://www.sephora.com/ca/en/product/calendula-calming-soothing-concentrated-cleansing-bar-P500704?skuId=2564037&icid2=products grid:p500704:product
16,10,Estée Lauder,Micro Essence Treatment Lotion Fresh with Sakura Ferment,Moisturizers,152.0,201.0,5.0,P482528,1.0,0.7562189054726368,4.262188762183972,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,https://www.sephora.com/ca/en/product/estee-lauder-micro-essence-treatment-lotion-fresh-with-sakura-ferment-P482528?skuId=2578482&icid2=products grid:p482528:product
17,48,Origins,GinZing™ GlowBoosting Mask,Masks,52.0,75.0,4.0,P500497,1.0,0.6933333333333334,4.226474476469686,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,
18,67,Sulwhasoo,White Ginseng Radiance Refining Mask,Masks,89.0,121.5,5.0,P501175,1.0,0.7325102880658436,4.262188762183972,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/white-ginseng-radiance-refining-mask-P501175?skuId=2595866&icid2=products grid:p501175:product
19,46,NUDESTIX,NUDESKIN Citrus Clean Balm & MakeUp Melt,Makeupremovers,41.0,60.0,5.0,P476892,1.0,0.6833333333333333,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,
20,42,Clé de Peau Beauté,Eye and Lip Makeup Remover,Makeupremovers,65.0,126.0,5.0,P481686,1.0,0.5158730158730159,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/cle-de-peau-beaute-eye-lip-makeup-remover-P481686?skuId=2565521&icid2=products grid:p481686:product
21,25,Jack Black,Turbo Body Lotion Energizing Gel Moisturizer with Eucalyptus & Aloe,Moisturizers,48.0,480.0,5.0,P476571,1.0,0.1,4.262188762183972,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/jack-black-turbo-body-lotion-energizing-gel-moisturizer-with-eucalyptus-aloe-P476571?skuId=2483600&icid2=products grid:p476571:product
22,31,Estée Lauder,Revitalizing Supreme+ Bright Soft Creme Moisturizer,Moisturizers,131.0,51.0,5.0,P481397,1.0,2.5686274509803924,4.262188762183972,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/estee-lauder-revitalizing-supreme-bright-soft-creme-moisturizer-P481397?skuId=2533024&icid2=products grid:p481397:product
23,86,GUERLAIN,Abeille Royale Intense Repair Youth Oil in Balm,Masks,430.0,81.0,3.0,P481993,1.0,5.308641975308642,4.190760190755401,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/guerlain-ar-oil-in-balm-cream-P481993?skuId=2535052&icid2=products grid:p481993:product
24,53,tarte,Shape Tape™ Moisturizer,Moisturizers,44.0,30.0,5.0,P476735,1.0,1.4666666666666666,4.262188762183972,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/tarte-shape-tape-trade-moisturizer-P476735?skuId=2505956&icid2=products grid:p476735:product
25,51,Clarins,NutriLumière Day,Moisturizers,156.0,50.699999999999996,3.0,P478246,1.0,3.076923076923077,4.190760190755401,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,
26,71,Clé de Peau Beauté,Mini HydroClarifying Lotion,Moisturizers,66.0,75.0,5.0,P481380,1.0,0.88,4.262188762183972,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,
27,20,MAKE UP FOR EVER,Mini Gentle Eye Gel Waterproof Eye & Lip Makeup Remover,Makeupremovers,20.0,48.0,1.0,P504859,1.0,0.4166666666666667,4.11933161932683,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mini-gentle-eye-gel-waterproof-eye-lip-makeup-remover-P504859?skuId=2646909&icid2=products grid:p504859:product
28,85,Tata Harper,Superkind Refining Cleanser,Cleaners,111.0,122.99999999999999,5.0,P503877,1.0,0.902439024390244,4.262188762183972,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,https://www.sephora.com/ca/en/product/tata-harper-superkind-refining-cleanser-P503877?skuId=2650661&icid2=products grid:p503877:product
29,37,bareMinerals,BUTTER DRENCH Restorative Rich Cream,Moisturizers,46.0,51.0,5.0,P504419,1.0,0.9019607843137255,4.262188762183972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/bareminerals-butter-drench-restorative-rich-cream-P504419?skuId=2658433&icid2=products grid:p504419:product
30,124,Clarins,Gentle Foaming Soothing Cleanser,Cleaners,41.0,126.0,4.0,P475079,1.0,0.3253968253968254,4.226474476469686,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/clarins-gentle-foaming-soothing-cleanser-P475079?skuId=2481208&icid2=products grid:p475079:product
31,201,Juice Beauty,Kate Hudson Loves Juice Beauty Clarifying Toning Cocktail Concentrate,FaceSerum,33.0,12.299999999999999,5.0,P500485,1.0,2.682926829268293,4.262188762183972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/kate-hudson-juice-beauty-clarifying-toning-cocktail-concentrate-P500485?skuId=2602514&icid2=products grid:p500485:product
32,56,TULA Skincare,Mini Secret Solutions ProGlycolic® 10% Resurfacing Treatment Toner,Toners,21.0,15.0,3.0,P475199,1.0,1.4,4.190760190755401,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,
33,208,Juice Beauty,Kate Hudson Loves Juice Beauty Hydrating Radiance Cocktail Concentrate,FaceSerum,33.0,12.299999999999999,3.0,P500470,1.0,2.682926829268293,4.190760190755401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/kate-hudson-juice-beauty-hydrating-radiance-cocktail-concentrate-P500470?skuId=2602522&icid2=products grid:p500470:product
34,285,Hourglass,Equilibrium™ Biomimetic Skin Active Serum,FaceSerum,320.0,51.0,5.0,P469829,1.0,6.2745098039215685,4.262188762183972,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/hourglass-equilibrium-trade-biomimetic-skin-active-serum-P469829?skuId=2416279&icid2=products grid:p469829:product
35,18,philosophy,Microdelivery Exfoliating Daily Facial Wash,Exfoliators,36.0,240.0,5.0,P504282,1.0,0.15,4.262188762183972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/philosophy-microdelivery-exfoliating-daily-facial-wash-P504282?skuId=2657674&icid2=products grid:p504282:product
36,13,Drunk Elephant,Mini AGloei Retinol Oil,Moisturizers,53.0,15.0,5.0,P502964,1.0,3.533333333333333,4.262188762183972,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,
37,205,Hourglass,Mini Equilibrium™ Rebalancing Cream Cleanser,Cleaners,34.0,27.3,5.0,P469801,1.0,1.2454212454212454,4.262188762183972,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/hourglass-mini-equilibrium-trade-rebalancing-cream-cleanser-P469801?skuId=2416204&icid2=products grid:p469801:product
38,47,Lise Watier,Lift & Firm YZone Deep Remodeling Night Cream,Moisturizers,94.0,51.0,5.0,P462879,1.0,1.8431372549019607,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,
39,216,Darphin,Mini Intral Inner Youth Rescue Serum,FaceSerum,122.0,30.0,5.0,P500029,1.0,4.066666666666666,4.262188762183972,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mini-intral-inner-youth-rescue-serum-P500029?skuId=2581882&icid2=products grid:p500029:product
40,187,Lise Watier,Cooling Cream Foam Cleanser,Cleaners,31.0,150.0,5.0,P472983,1.0,0.20666666666666667,4.262188762183972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/lise-watier-cooling-cream-foam-cleanser-P472983?skuId=2463891&icid2=products grid:p472983:product
41,341,Biotherm,AQUA Pure Super Concentrate,FaceSerum,37.0,50.699999999999996,5.0,P449635,1.0,0.7297830374753452,4.262188762183972,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,https://www.sephora.com/ca/en/product/aqua-pure-super-concentrate-P449635?skuId=2359016&icid2=products grid:p449635:product
42,16,Shiseido,Vital Perfection Uplifting and Firming Cream,Moisturizers,180.0,51.0,5.0,P457853,1.0,3.5294117647058822,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/shiseido-vital-perfection-uplifting-firming-cream-P457853?skuId=2342079&icid2=products grid:p457853:product
43,80,Lise Watier,Age Control Supreme La Crème Sublime Riche,Moisturizers,115.0,51.0,5.0,P435769,1.0,2.2549019607843137,4.262188762183972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/age-control-supreme-la-creme-sublime-riche-P435769?skuId=2135275&icid2=products grid:p435769:product
44,295,Biotherm,AQUA Glow Super Concentrate,FaceSerum,37.0,50.699999999999996,5.0,P449634,1.0,0.7297830374753452,4.262188762183972,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,https://www.sephora.com/ca/en/product/aqua-glow-super-concentrate-P449634?skuId=2359024&icid2=products grid:p449634:product
45,30,Clarins,HydraEssentiel Night Cream,Moisturizers,53.0,48.0,5.0,P504672,1.0,1.1041666666666667,4.262188762183972,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,
46,25,MAC Cosmetics,Hyper Real Skin Mini Canvas Balm,Moisturizers,29.0,15.0,4.0,P504227,1.0,1.9333333333333333,4.226474476469686,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mac-cosmetics-hyper-real-skin-mini-canvas-balm-P504227?skuId=2652477&icid2=products grid:p504227:product
47,29,MAC Cosmetics,Hyper Real Skin Canvas Balm,Moisturizers,65.0,51.0,5.0,P504228,1.0,1.2745098039215685,4.262188762183972,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/mac-cosmetics-hyper-real-skin-canvas-balm-P504228?skuId=2652469&icid2=products grid:p504228:product
48,29,NUDESTIX,5% Citrus Fruit & Glycolic Glow Toner,Toners,35.0,102.0,5.0,P504330,1.0,0.3431372549019608,4.262188762183972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/nudestix-5-citrus-fruit-glycolic-glow-toner-P504330?skuId=2647741&icid2=products grid:p504330:product
49,215,Shiseido,White Lucent Illuminating MicroSpot Serum,FaceSerum,175.0,30.0,3.0,P455229,2.0,5.833333333333333,4.149699494522456,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,
50,221,shu uemura,Botanicoil Cleansing Oil,Cleaners,101.0,450.0,5.0,P465821,2.0,0.22444444444444445,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/shu-uemura-botanicoil-2020-450ml-P465821?skuId=2384279&icid2=products grid:p465821:product
51,221,shu uemura,Botanicoil Cleansing Oil,Cleaners,101.0,450.0,5.0,P465821,2.0,0.22444444444444445,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/shu-uemura-botanicoil-cleansing-oil-P465820?skuId=2384261&icid2=products grid:p465820:product
52,62,Clé de Peau Beauté,Radiant Multi Repair Oil,Moisturizers,215.0,75.0,5.0,P481677,2.0,2.8666666666666667,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,https://www.sephora.com/ca/en/product/cle-de-peau-beaute-radiant-multi-repair-oil-P481677?skuId=2565687&icid2=products grid:p481677:product
53,46,Clarins,NutriLumière Night,Moisturizers,162.0,50.699999999999996,5.0,P478245,2.0,3.1952662721893494,4.287630529005215,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,
54,183,philosophy,Purity Pore Minimizing Serum,FaceSerum,49.0,30.0,5.0,P501580,2.0,1.6333333333333333,4.287630529005215,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,https://www.sephora.com/ca/en/product/false-purity-pore-minimizing-serum-P501580?skuId=2619385&icid2=products grid:p501580:product
55,87,Clé de Peau Beauté,Precious Gold Vitality Mask,Masks,395.0,75.0,5.0,P481687,2.0,5.266666666666667,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/cle-de-peau-beaute-precious-gold-vitality-mask-P481687?skuId=2565596&icid2=products grid:p481687:product
56,47,Dermalogica,Clear Start Cooling Aqua Jelly,Moisturizers,35.0,60.0,3.5,P481208,2.0,0.5833333333333334,4.184182253143145,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,https://www.sephora.com/ca/en/product/dermalogica-clear-start-cooling-aqua-jelly-P481208?skuId=2555159&icid2=products grid:p481208:product
57,106,Grown Alchemist,Instant Smoothing Serum,FaceSerum,72.0,25.2,5.0,P504141,2.0,2.857142857142857,4.287630529005215,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/grown-alchemist-instant-smoothing-serum-P504141?skuId=2430924&icid2=products grid:p504141:product
58,75,Clé de Peau Beauté,Essential Refining Essence,Moisturizers,130.0,171.0,2.5,P481675,2.0,0.7602339181286549,4.115216735901766,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,https://www.sephora.com/ca/en/product/cle-de-peau-beaute-essential-refining-essence-P481675?skuId=2565703&icid2=products grid:p481675:product
59,77,Lise Watier,Age Control Supreme La Crème Sublime,Moisturizers,115.0,51.0,4.0,P435764,2.0,2.2549019607843137,4.218665011763835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sephora.com/ca/en/product/age-control-supreme-la-creme-sublime-P435764?skuId=2135259&icid2=products grid:p435764:product
60,68,Lancôme,Absolue Revitalizing & Brightening Soft Cream Refill With Grand Rose Extracts,Moisturizers,255.0,60.0,5.0,P468375,2.0,4.25,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,https://www.sephora.com/ca/en/product/lancome-absolue-soft-cream-refill-P468375?skuId=2445526&icid2=products grid:p468375:product
61,68,Sulwhasoo,Herbal Clay Purifying Mask,Masks,65.0,135.0,5.0,P501149,2.0,0.48148148148148145,4.287630529005215,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,https://www.sephora.com/ca/en/product/herbal-clay-purifying-mask-P501149?skuId=2604262&icid2=products grid:p501149:product
62,39,fresh,Mini Floral Recovery Overnight Mask with Squalane,Masks,37.0,30.0,5.0,P503915,2.0,1.2333333333333334,4.287630529005215,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,https://www.sephora.com/ca/en/product/fresh-mini-floral-recovery-redness-reducing-overnight-mask-P503915?skuId=2640464&icid2=products grid:p503915:product
63,55,Dior,Capture Dreamskin 1Minute Mask,Masks,100.0,75.0,5.0,P504053,2.0,1.3333333333333333,4.287630529005215,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,
64,78,GUERLAIN,Orchidée Impériale  The Cream,Moisturizers,598.0,51.0,2.0,P481095,2.0,11.72549019607843,4.080733977281077,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,
65,304,Peter Thomas Roth,FIRMx® Collagen Serum,FaceSerum,129.0,30.0,5.0,P458203,2.0,4.3,4.287630529005215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,https://www.sephora.com/ca/en/product/peter-thomas-roth-firmx-collagen-serum-P458203?skuId=2355329&icid2=products grid:p458203:product
